width,height,samples,max_depth,focal_length_mm,fstop,focal_distance,aperture_blades,exposure,iso,threads,time_seconds,mrays_per_second
600,337,100,10,85mm,f/8.0,10 units,0,1/0.017,100,32,66.91,0.3022
600,337,100,10,85mm,f/8.0,10 units,0,1/0.017,100,32,62.30,0.3246
600,337,100,10,85mm,f/8.0,10 units,0,1/0.017,100,32,65.32,0.3095
600,337,100,10,85mm,f/8.0,10 units,0,1/0.017,100,32,62.81,0.3219
600,337,100,10,85mm,f/8.0,10 units,0,1/0.017,100,32,59.81,0.3381
600,337,100,10,85mm,f/8.0,10 units,0,1/0.000,500,32,64.31,0.3144
600,337,100,10,85mm,f/8.0,10 units,0,1/0.062,500,32,63.79,0.3170
600,337,100,10,85mm,f/8.0,10 units,0,1/0.062,500,32,61.72,0.3276
600,337,100,10,85mm,f/8.0,10 units,0,1/0.017,100,32,61.54,0.3285
600,337,100,10,85mm,f/8.0,10 units,0,1/0.017,100,32,62.83,0.3218
600,337,100,10,85mm,f/2.0,10 units,0,1/0.017,100,32,68.00,0.2974
600,337,100,10,85mm,f/1.0,10 units,7,1/0.017,100,32,60.83,0.3324
600,337,125,10,85mm,f/1.0,10 units,7,1/0.017,100,32,77.61,0.3257
600,337,125,10,85mm,f/1.0,10 units,7,1/0.017,100,32,170.64,0.1481
600,337,125,10,85mm,f/8.0,3 units,7,1/0.017,100,32,76.73,0.3294
600,337,125,10,85mm,f/8.0,3 units,0,1/0.017,100,32,81.05,0.3118
600,337,125,10,85mm,f/8.0,10 units,0,1/0.017,100,32,79.43,0.3182
600,337,125,10,85mm,f/8.0,10 units,0,1/0.017,100,32,78.48,0.3221
600,337,125,10,85mm,f/8.0,10 units,6,1/0.017,100,32,82.00,0.3082
600,337,125,10,85mm,f/1.4,10 units,6,1/0.017,100,32,81.61,0.3097
600,337,125,10,85mm,f/1.4,10 units,6,1/0.017,100,32,79.30,0.3187
600,337,125,10,85mm,f/1.4,10 units,6,1/0.017,100,32,76.13,0.3320
600,337,125,10,85mm,f/1.4,10 units,3,1/0.017,100,32,71.85,0.3518
600,337,125,10,85mm,f/1.4,10 units,3,1/0.017,100,32,82.76,0.3054
600,337,125,10,85mm,f/1.4,10 units,3,1/0.017,100,32,73.82,0.3424
600,337,125,10,85mm,f/1.4,10 units,3,1/0.017,100,32,75.80,0.3334
600,337,125,10,85mm,f/2.3,10 units,3,1/0.017,100,32,76.19,0.3317
600,337,125,10,85mm,f/2.3,10 units,3,1/0.017,100,32,73.48,0.3440
600,337,125,10,85mm,f/4.0,10 units,3,1/0.017,100,32,76.72,0.3295
600,337,125,10,85mm,f/4.0,10 units,nil,1/0.017,100,32,83.31,0.3034
600,337,125,10,85mm,f/18.0,10 units,nil,1/0.017,100,32,70.20,0.3600
600,337,125,10,85mm,f/60.0,10 units,nil,1/0.017,100,32,73.92,0.3419
1200,675,500,50,85mm,f/4.0,10 units,nil,1/0.017,100,32,779.89,0.5193
600,337,125,10,85mm,f/4.0,10 units,Circle (∅%.1fmm) 21.25,1/0.017,100,32,77.02,0.3282
600,337,125,10,85mm,f/4.0,10 units,Circle (∅21.2mm),1/0.017,100,32,78.72,0.3211
600,337,125,10,85mm,f/4.0,10 units,Circle (∅21.2mm),1/0.017,100,32,41.72,0.6058
600,337,125,10,85mm,f/4.0,10 units,6-blade,1/0.017,100,32,40.60,0.6225
600,337,125,10,85mm,f/4.0,10 units, (∅2.06mm),1/0.017,100,32,41.43,0.6101
600,337,125,10,85mm,f/4.0,10 units,Heart (∅2.06mm),1/0.017,100,32,40.52,0.6238
1200,675,500,50,85mm,f/8.0,10 units,Circle (∅10.6mm),1/0.017,100,32,628.85,0.6440
600,337,125,50,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,39.59,0.6384
600,337,125,50,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,35.31,0.7157
600,337,125,50,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,34.19,0.7392
600,337,125,50,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,35.18,0.7185
